populationId,TN,ADAP_E,PD1P_E,MDAP_E,y,EM-FL,FL-SH,FL-SD,generationId,IP
26,2,,0.270833333333333,0.134146341463415,-10.677831,1.158,1.262,0.937,10,FALSE
26,3,,0.127272727272727,0.0444444444444444,-10.677831,1.158,1.262,0.937,10,FALSE
26,4,,0.12962962962963,0.134146341463415,-10.677831,1.158,1.262,0.937,10,FALSE
26,5,,0.0555555555555556,-0.0111111111111111,-10.677831,1.158,1.262,0.937,10,FALSE
26,6,,-0.149253731343284,-0.010989010989011,-10.677831,1.158,1.262,0.937,10,FALSE
26,7,,0.27906976744186,0.0632911392405063,-10.677831,1.158,1.262,0.937,10,FALSE
26,8,,0.0980392156862745,0.107142857142857,-10.677831,1.158,1.262,0.937,10,FALSE
26,9,,0.0714285714285714,0.0813953488372093,-10.677831,1.158,1.262,0.937,10,FALSE
27,1,,0.285714285714286,0.208333333333333,-7.758092,1.072,1.143,0.818,10,FALSE
27,2,,0.166666666666667,0.0853658536585366,-7.758092,1.072,1.143,0.818,10,FALSE
27,3,,0.0545454545454545,-0.0111111111111111,-7.758092,1.072,1.143,0.818,10,FALSE
27,4,,0.0555555555555556,0.0731707317073171,-7.758092,1.072,1.143,0.818,10,FALSE
27,5,,-0.037037037037037,-0.0666666666666667,-7.758092,1.072,1.143,0.818,10,FALSE
27,6,,-0.208955223880597,-0.0659340659340659,-7.758092,1.072,1.143,0.818,10,FALSE
27,7,,0.186046511627907,0,-7.758092,1.072,1.143,0.818,10,FALSE
27,8,,0,0.0357142857142857,-7.758092,1.072,1.143,0.818,10,FALSE
27,9,,-0.0178571428571429,0.0465116279069768,-7.758092,1.072,1.143,0.818,10,FALSE
28,1,,0.30952380952381,0.208333333333333,-8.120059,1.075,1.333,0.868,10,FALSE
28,2,,0.1875,0.0975609756097561,-8.120059,1.075,1.333,0.868,10,FALSE
28,3,,0.0727272727272727,-0.0111111111111111,-8.120059,1.075,1.333,0.868,10,FALSE
28,4,,0.0740740740740741,0.0731707317073171,-8.120059,1.075,1.333,0.868,10,FALSE
28,5,,-0.0185185185185185,-0.0555555555555556,-8.120059,1.075,1.333,0.868,10,FALSE
